@relation 'Estado del cielo'

@attribute cieloMS1 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS1 numeric
@attribute direccionVientoMS1 numeric
@attribute temperaturaMS1 numeric
@attribute cieloMS2 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS2 numeric
@attribute direccionVientoMS2 numeric
@attribute temperaturaMS2 numeric
@attribute cieloMS3 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS3 numeric
@attribute direccionVientoMS3 numeric
@attribute temperaturaMS3 numeric
@attribute cieloMS4 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS4 numeric
@attribute direccionVientoMS4 numeric
@attribute temperaturaMS4 numeric
@attribute cieloMS5 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS5 numeric
@attribute direccionVientoMS5 numeric
@attribute temperaturaMS5 numeric
@attribute cieloMS6 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS6 numeric
@attribute direccionVientoMS6 numeric
@attribute temperaturaMS6 numeric
@attribute cieloMS7 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS7 numeric
@attribute direccionVientoMS7 numeric
@attribute temperaturaMS7 numeric
@attribute cieloMS8 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS8 numeric
@attribute direccionVientoMS8 numeric
@attribute temperaturaMS8 numeric
@attribute cieloMS9 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS9 numeric
@attribute direccionVientoMS9 numeric
@attribute temperaturaMS9 numeric
@attribute cieloMS10 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS10 numeric
@attribute direccionVientoMS10 numeric
@attribute temperaturaMS10 numeric
@attribute cieloMS11 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS11 numeric
@attribute direccionVientoMS11 numeric
@attribute temperaturaMS11 numeric
@attribute cieloMS12 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS12 numeric
@attribute direccionVientoMS12 numeric
@attribute temperaturaMS12 numeric
@attribute cieloMS13 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS13 numeric
@attribute direccionVientoMS13 numeric
@attribute temperaturaMS13 numeric
@attribute cieloMS14 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS14 numeric
@attribute direccionVientoMS14 numeric
@attribute temperaturaMS14 numeric
@attribute cieloMS15 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS15 numeric
@attribute direccionVientoMS15 numeric
@attribute temperaturaMS15 numeric
@attribute cieloMS16 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS16 numeric
@attribute direccionVientoMS16 numeric
@attribute temperaturaMS16 numeric
@attribute cieloMS17 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS17 numeric
@attribute direccionVientoMS17 numeric
@attribute temperaturaMS17 numeric
@attribute cieloMS18 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS18 numeric
@attribute direccionVientoMS18 numeric
@attribute temperaturaMS18 numeric
@attribute cieloMS19 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS19 numeric
@attribute direccionVientoMS19 numeric
@attribute temperaturaMS19 numeric
@attribute cieloMS20 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS20 numeric
@attribute direccionVientoMS20 numeric
@attribute temperaturaMS20 numeric
@attribute cieloMS21 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS21 numeric
@attribute direccionVientoMS21 numeric
@attribute temperaturaMS21 numeric
@attribute cieloMS22 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS22 numeric
@attribute direccionVientoMS22 numeric
@attribute temperaturaMS22 numeric
@attribute cieloMS23 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS23 numeric
@attribute direccionVientoMS23 numeric
@attribute temperaturaMS23 numeric
@attribute cieloMS24 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS24 numeric
@attribute direccionVientoMS24 numeric
@attribute temperaturaMS24 numeric
@attribute cieloMS25 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS25 numeric
@attribute direccionVientoMS25 numeric
@attribute temperaturaMS25 numeric
@attribute class {105104104,101101101,103101101,104101104,103101104,104103104,106101101,106101103,106101104,103101103,103103104,101101103,103103103,101115103,110104104,105101104,104101103,104103103}

@data
OVERCAST_AND_SHOWERS,4.5,358.76001,15,OVERCAST_AND_SHOWERS,3.24,7.85,15,OVERCAST_AND_SHOWERS,0.99,307.570007,15,OVERCAST_AND_SHOWERS,4.53,337.529999,16,OVERCAST_AND_SHOWERS,3.91,26.77,16,OVERCAST_AND_SHOWERS,6.3,21.01,17,OVERCAST_AND_SHOWERS,8.43,41.459999,18,OVERCAST_AND_SHOWERS,10.36,41.400002,18,OVERCAST_AND_SHOWERS,10.68,41.59,18,OVERCAST_AND_SHOWERS,10.43,42.93,20,CLOUDY,14.14,54.869999,20,CLOUDY,13.82,62.68,19,CLOUDY,12.31,56.950001,18,OVERCAST_AND_SHOWERS,11.63,55.119999,18,OVERCAST_AND_SHOWERS,9.78,49.650002,17,OVERCAST_AND_SHOWERS,5.72,51.540001,17,OVERCAST_AND_SHOWERS,3.58,63.959999,17,OVERCAST_AND_SHOWERS,0.64,9.85,16,OVERCAST_AND_SHOWERS,0.98,13.44,16,OVERCAST_AND_SHOWERS,1.12,353.01001,16,CLOUDY,0.74,297.179993,16,PARTLY_CLOUDY,1.62,258.640015,16,CLOUDY,2.39,261.279999,16,OVERCAST_AND_SHOWERS,2.32,271.209991,16,OVERCAST_AND_SHOWERS,1.3,316.089996,16,105104104
SUNNY,8.62,38.59,13,SUNNY,11.72,25.33,14,SUNNY,12.3,30.67,14,SUNNY,14.7,54.830002,17,SUNNY,16.65,54.150002,18,SUNNY,13.05,47.389999,21,SUNNY,12.84,44.720001,23,SUNNY,12.53,40.150002,25,SUNNY,8.68,46.18,26,SUNNY,9.25,34.720001,27,SUNNY,12.35,26.52,28,SUNNY,12.39,30.959999,28,SUNNY,12.51,25.51,27,SUNNY,14.53,13.34,27,SUNNY,14.89,5,25,SUNNY,17.209999,358,23,SUNNY,16.450001,21.34,20,SUNNY,17.18,30.629999,19,SUNNY,13.81,45.419998,18,SUNNY,8.93,59.27,17,SUNNY,8.26,42.389999,16,SUNNY,8.27,35.91,16,SUNNY,6.61,48.41,15,SUNNY,7.02,29.68,15,SUNNY,7.86,22.34,15,101101101
SUNNY,12.26,134.460007,16,SUNNY,12.7,126.739998,16,SUNNY,15.04,105.919998,16,SUNNY,18.73,91.580002,18,SUNNY,20.9,82.139999,20,SUNNY,15.58,76.57,22,SUNNY,15.36,80.449997,24,SUNNY,10.16,78.720001,26,SUNNY,6.31,281.809998,27,SUNNY,7.14,282.109985,29,SUNNY,9.67,292.070007,30,SUNNY,17.129999,288.309998,29,SUNNY,15.02,284.670013,29,SUNNY,13.74,272.850006,28,SUNNY,13.57,259.660004,27,SUNNY,10.85,229.229996,25,SUNNY,6.48,221.300003,22,SUNNY,9.65,112.150002,21,SUNNY,7.67,107.760002,20,SUNNY,8.49,116.57,19,SUNNY,11.98,121.879997,18,SUNNY,14.71,123.839996,19,SUNNY,14.35,121.739998,18,SUNNY,15.96,109.790001,18,SUNNY,18.59,106.540001,17,101101101
PARTLY_CLOUDY,4.35,298.730011,13,PARTLY_CLOUDY,5.67,314.209991,14,PARTLY_CLOUDY,4.66,325.279999,14,PARTLY_CLOUDY,2.99,328.309998,14,PARTLY_CLOUDY,2.62,358.350006,15,SUNNY,1.28,61.240002,17,SUNNY,6.56,359.690002,20,SUNNY,10.39,3.12,23,SUNNY,7.93,357.200012,25,SUNNY,8.08,347.429993,27,SUNNY,8.84,350.899994,28,SUNNY,10.66,4.68,29,SUNNY,12.37,4.74,28,SUNNY,13.82,6.32,28,SUNNY,15.67,9.97,26,SUNNY,13.49,6.77,23,SUNNY,4.99,355.920013,20,SUNNY,3.86,329.179993,19,SUNNY,3.59,318.76001,17,SUNNY,4.87,303.269989,16,SUNNY,5.16,309.170013,15,SUNNY,4.75,311.570007,14,PARTLY_CLOUDY,4.12,290.089996,14,PARTLY_CLOUDY,3.07,281.470001,13,PARTLY_CLOUDY,0.63,278.48999,13,101101101
PARTLY_CLOUDY,9.31,54,11,PARTLY_CLOUDY,10.26,72.169998,11,PARTLY_CLOUDY,10.89,61.630001,12,SUNNY,13.11,57.75,16,PARTLY_CLOUDY,16.620001,11.74,17,SUNNY,17.73,359.850006,18,SUNNY,16.459999,21.15,20,SUNNY,17.74,11.99,22,SUNNY,26.65,352.390015,23,SUNNY,30.799999,351.01001,23,SUNNY,28.99,354.880005,24,SUNNY,29.4,357.970001,24,SUNNY,30.940001,0.38,23,SUNNY,29.719999,3.69,22,SUNNY,22.85,15.44,20,SUNNY,19.459999,26.75,19,SUNNY,17.4,22.16,16,SUNNY,15.22,46.77,15,SUNNY,13.15,50.099998,15,PARTLY_CLOUDY,10.16,49.09,14,SUNNY,9.89,58.279999,13,SUNNY,13.07,70.690002,13,SUNNY,10.48,94.150002,13,SUNNY,4.65,99.190002,13,SUNNY,0.89,58.259998,13,103101101
PARTLY_CLOUDY,1.19,316.640015,13,PARTLY_CLOUDY,0.07,201.75,14,CLOUDY,0.93,302.279999,14,CLOUDY,0.46,70.370003,14,PARTLY_CLOUDY,1.36,252.940002,15,PARTLY_CLOUDY,2.92,17.73,17,SUNNY,1.75,140.520004,21,SUNNY,1.19,204.389999,24,SUNNY,0.79,309.040009,27,SUNNY,8.18,9.44,28,SUNNY,11.48,4.53,29,SUNNY,13.3,2.65,29,SUNNY,15.7,356.929993,28,SUNNY,18.969999,0.77,27,SUNNY,17.790001,1.86,25,SUNNY,8.85,340.589996,23,SUNNY,7.97,332.649994,21,SUNNY,2.08,249.25,19,SUNNY,5.04,241.130005,18,SUNNY,4.62,260.929993,16,SUNNY,4.01,287.450012,15,SUNNY,3.54,294.730011,14,PARTLY_CLOUDY,2.18,295.399994,14,PARTLY_CLOUDY,2.38,250.889999,13,CLOUDY,1.66,214.380005,13,101101101
CLOUDY,1.13,129.919998,14,CLOUDY,1.34,238.539993,15,CLOUDY,0.84,278.920013,15,CLOUDY,1.05,299.959991,15,PARTLY_CLOUDY,3.78,346.959991,18,PARTLY_CLOUDY,10.6,350.230011,19,PARTLY_CLOUDY,14.89,341.769989,21,SUNNY,17.969999,343.369995,22,SUNNY,19.82,341.51001,23,SUNNY,20.559999,338.230011,24,SUNNY,23.129999,339.670013,23,SUNNY,24.59,337.149994,23,SUNNY,26.77,333,23,SUNNY,26.370001,334.839996,22,SUNNY,24.07,332.809998,21,SUNNY,18.24,334.589996,20,SUNNY,15.56,337.779999,19,SUNNY,8.38,337.980011,17,SUNNY,8.07,219.369995,16,SUNNY,6.54,216.509995,15,SUNNY,5.28,201.220001,14,SUNNY,6.53,225.210007,15,SUNNY,3.78,258.980011,15,SUNNY,2.45,249.029999,15,PARTLY_CLOUDY,2.28,194.550003,15,104101104
SUNNY,8.74,356.25,12,PARTLY_CLOUDY,7.04,12.3,11,PARTLY_CLOUDY,8.18,4.99,12,PARTLY_CLOUDY,12.94,24.690001,15,PARTLY_CLOUDY,11.77,49.939999,15,SUNNY,13.41,49.400002,17,SUNNY,13.09,50.799999,20,SUNNY,12.28,52.82,22,SUNNY,13.2,52.380001,24,SUNNY,14.32,51.880001,26,SUNNY,13.67,55.529999,27,SUNNY,12.74,55.110001,28,SUNNY,13.9,44.470001,28,SUNNY,18.15,31.690001,27,SUNNY,22.32,15.25,25,SUNNY,20.82,6.12,23,SUNNY,20.799999,0.91,20,SUNNY,16.93,357.970001,19,SUNNY,14.02,356.899994,18,SUNNY,13.26,354.390015,17,SUNNY,8.59,3.24,15,SUNNY,5.72,18.85,14,SUNNY,5.73,5.74,13,SUNNY,6.11,10.23,12,SUNNY,6.09,3.41,12,101101101
CLOUDY,2.27,55.419998,12,CLOUDY,3.83,357.820007,11,PARTLY_CLOUDY,3.56,10.42,12,CLOUDY,4.33,350.790009,15,PARTLY_CLOUDY,5.5,347.350006,17,PARTLY_CLOUDY,11.24,12.89,19,SUNNY,11.21,22.370001,21,SUNNY,11.36,19.540001,23,SUNNY,10.43,2.3,24,SUNNY,13.62,348.76001,25,SUNNY,22.33,335.299988,24,SUNNY,18.08,4.76,24,SUNNY,18.690001,12.05,24,SUNNY,18.209999,14.96,23,SUNNY,17.67,13.37,22,SUNNY,8.16,4.95,20,SUNNY,8.43,60.400002,18,SUNNY,6.32,73.839996,16,SUNNY,3.07,171.320007,15,SUNNY,1.77,176.619995,14,SUNNY,2.66,230.710007,14,SUNNY,0.77,240.580002,13,SUNNY,1.87,346.459991,12,SUNNY,1.86,344.149994,13,SUNNY,0.74,346.670013,14,104101104
SUNNY,4.37,86.510002,14,SUNNY,0.73,137.649994,14,SUNNY,1.35,72.300003,14,SUNNY,2.25,277.940002,17,SUNNY,3.69,309.679993,19,SUNNY,4.9,320.790009,22,SUNNY,5.3,308.529999,24,SUNNY,6.78,308.119995,26,SUNNY,10.8,309.51001,27,SUNNY,12.06,301.029999,28,SUNNY,14.49,287.480011,29,SUNNY,20.290001,285.269989,29,SUNNY,24.85,296.549988,28,SUNNY,25.01,308.440002,28,SUNNY,17.290001,315.109985,27,SUNNY,1.85,266.829987,25,SUNNY,3.3,271.109985,22,SUNNY,2.28,292.160004,20,SUNNY,5.05,107.410004,19,SUNNY,8.9,92.910004,18,SUNNY,8.67,97.809998,18,SUNNY,8.75,112.620003,17,SUNNY,8.06,111.110001,17,SUNNY,4.72,107.349998,16,SUNNY,3.76,145.520004,15,101101101
