@relation Temperatura

@attribute temperaturaMS1 numeric
@attribute temperaturaMS2 numeric
@attribute temperaturaMS3 numeric
@attribute temperaturaMS4 numeric
@attribute temperaturaMS5 numeric
@attribute temperaturaMS6 numeric
@attribute temperaturaMS7 numeric
@attribute temperaturaMS8 numeric
@attribute temperaturaMS9 numeric
@attribute temperaturaMS10 numeric
@attribute temperaturaMS11 numeric
@attribute temperaturaMS12 numeric
@attribute temperaturaMS13 numeric
@attribute temperaturaMS14 numeric
@attribute temperaturaMS15 numeric
@attribute temperaturaMS16 numeric
@attribute temperaturaMS17 numeric
@attribute temperaturaMS18 numeric
@attribute temperaturaMS19 numeric
@attribute temperaturaMS20 numeric
@attribute temperaturaMS21 numeric
@attribute temperaturaMS22 numeric
@attribute temperaturaMS23 numeric
@attribute temperaturaMS24 numeric
@attribute temperaturaMS25 numeric
@attribute temperaturaMG {-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45}

@data
15,15,15,16,16,17,18,18,18,20,20,19,18,18,17,17,17,16,16,16,16,16,16,16,16,21
13,14,14,17,18,21,23,25,26,27,28,28,27,27,25,23,20,19,18,17,16,16,15,15,15,29
16,16,16,18,20,22,24,26,27,29,30,29,29,28,27,25,22,21,20,19,18,19,18,18,17,32
13,14,14,14,15,17,20,23,25,27,28,29,28,28,26,23,20,19,17,16,15,14,14,13,13,33
11,11,12,16,17,18,20,22,23,23,24,24,23,22,20,19,16,15,15,14,13,13,13,13,13,25
13,14,14,14,15,17,21,24,27,28,29,29,28,27,25,23,21,19,18,16,15,14,14,13,13,30
14,15,15,15,18,19,21,22,23,24,23,23,23,22,21,20,19,17,16,15,14,15,15,15,15,23
12,11,12,15,15,17,20,22,24,26,27,28,28,27,25,23,20,19,18,17,15,14,13,12,12,30
12,11,12,15,17,19,21,23,24,25,24,24,24,23,22,20,18,16,15,14,14,13,12,13,14,22
14,14,14,17,19,22,24,26,27,28,29,29,28,28,27,25,22,20,19,18,18,17,17,16,15,33
14,14,14,15,15,16,19,19,20,20,20,20,19,18,17,16,15,15,15,15,15,15,15,15,15,24
16,16,15,16,16,18,18,18,19,20,20,20,19,19,18,17,16,15,14,15,15,16,16,16,16,21
13,13,14,14,15,16,18,19,20,22,22,21,21,21,20,18,16,15,14,14,14,13,12,11,11,21
14,13,13,14,14,16,20,22,24,26,27,28,28,28,26,23,21,18,17,15,14,13,12,13,13,32
14,14,14,14,14,16,20,22,25,26,28,28,28,28,26,23,21,19,17,16,15,14,14,13,12,31
12,12,13,16,18,21,23,24,25,26,27,27,26,26,24,22,20,19,18,18,17,16,15,15,14,30
16,16,16,18,20,21,24,25,27,27,28,29,28,27,25,22,21,20,20,19,19,19,19,18,17,29
15,15,15,15,16,17,20,21,22,23,23,23,22,21,20,18,16,16,16,16,16,16,15,15,15,26
15,14,15,18,19,22,24,25,26,26,26,26,26,25,24,22,21,21,20,19,18,17,17,16,16,28
12,12,13,15,17,19,21,24,26,27,28,28,28,26,24,22,20,19,17,16,15,14,14,13,12,32
14,14,14,14,15,17,20,21,22,23,22,22,22,21,20,19,17,16,14,14,13,13,13,13,13,23
14,14,15,15,16,17,19,20,20,20,20,20,19,19,18,17,16,15,16,16,15,15,15,15,15,21
14,14,14,14,15,17,20,21,22,23,24,24,24,22,20,18,16,15,15,15,15,15,15,15,14,26
15,15,15,16,16,18,20,22,25,26,26,26,26,25,23,21,19,17,16,16,16,16,16,16,15,28
13,13,13,16,18,19,22,24,25,25,26,26,25,24,22,20,18,17,16,16,15,15,14,14,14,28
13,13,13,14,15,17,19,21,24,25,26,26,26,25,24,21,19,18,16,15,14,14,14,13,13,29
15,15,14,15,17,18,20,21,21,21,21,21,20,20,19,18,16,16,16,16,16,16,15,15,15,22
14,14,14,14,14,16,20,23,25,27,28,28,28,27,25,23,20,19,17,16,15,14,13,13,14,30
12,12,12,13,16,18,20,22,24,25,26,26,26,24,22,20,18,17,16,16,16,14,13,12,12,29
12,11,11,13,15,17,19,20,22,24,24,25,25,25,23,21,18,17,15,14,13,13,13,12,12,29
